"7612-A1" "7612-A10" "7612-A11" "7612-A12" "7612-A2" "7612-A3" "7612-A4" "7612-A5" "7612-A6" "7612-A7" "7612-A8" "7612-A9" "7612-B1" "7612-B10" "7612-B11" "7612-B12" "7612-B2" "7612-B3" "7612-B4" "7612-B5" "7612-B6" "7612-B7" "7612-B8" "7612-B9" "7612-C1" "7612-C10" "7612-C11" "7612-C12" "7612-C2" "7612-C3" "7612-C4" "7612-C5" "7612-C6" "7612-C7" "7612-C8" "7612-C9" "7612-D1" "7612-D10" "7612-D11" "7612-D12" "7612-D2" "7612-D3" "7612-D4" "7612-D5" "7612-D6" "7612-D7" "7612-D8" "7612-D9" "7612-E1" "7612-E10" "7612-E11" "7612-E12" "7612-E2" "7612-E3" "7612-E4" "7612-E5" "7612-E6" "7612-E7" "7612-E8" "7612-E9" "7612-F1" "7612-F10" "7612-F11" "7612-F12" "7612-F2" "7612-F3" "7612-F4" "7612-F5" "7612-F6" "7612-F7" "7612-F8" "7612-F9" "7612-G1" "7612-G10" "7612-G11" "7612-G12" "7612-G2" "7612-G3" "7612-G4" "7612-G5" "7612-G6" "7612-G7" "7612-G8" "7612-G9" "7612-H1" "7612-H10" "7612-H11" "7612-H12" "7612-H2" "7612-H3" "7612-H4" "7612-H5" "7612-H6" "7612-H7" "7612-H8" "7612-H9" "7881-A1" "7881-A12" "7881-A2" "7881-A3" "7881-B12" "7881-B2" "7881-B3" "7881-C1" "7881-C12" "7881-C2" "7881-C3" "7881-D1" "7881-D12" "7881-D2" "7881-D3" "7881-E1" "7881-E2" "7881-E3" "7881-F1" "7881-F12" "7881-F2" "7881-F3" "7881-G1" "7881-G12" "7881-G2" "7881-G3" "7881-H1" "7881-H11" "7881-H12" "7881-H2" "7885-A1" "7885-B1" "7885-C1" "7885-D1" "7885-E1" "7885-F1" "7885-G1" "7885-H1"
"7612-B6" 0.00990990990990991 0.00900900900900901 0.0324324324324324 0.00630630630630631 0.00900900900900901 0.0468468468468468 0.000900900900900901 0.0486486486486487 0.0045045045045045 0.0045045045045045 0.00630630630630631 0.00720720720720721 0.0324324324324324 0.00540540540540541 0.0747747747747748 0.00540540540540541 0.00990990990990991 0.0036036036036036 0.00990990990990991 0.00540540540540541 0 0.0171171171171171 0.00540540540540541 0.0495495495495495 0.0432432432432432 0.0891891891891892 0.0333333333333333 0.00630630630630631 0.0027027027027027 0.0036036036036036 0.00720720720720721 0.00720720720720721 0.0036036036036036 0.00810810810810811 0.0441441441441441 0.00720720720720721 0.0036036036036036 0.0756756756756757 0.0720720720720721 0.0324324324324324 0.0765765765765766 0.00540540540540541 0.00630630630630631 0.0288288288288288 0.00720720720720721 0.0783783783783784 0.0045045045045045 0.0045045045045045 0.0036036036036036 0.0333333333333333 0.0477477477477477 0.0027027027027027 0.0036036036036036 0.00720720720720721 0.00630630630630631 0.0036036036036036 0.00720720720720721 0.0045045045045045 0.0324324324324324 0.0045045045045045 0.00720720720720721 0.0720720720720721 0.22972972972973 0.0297297297297297 0.00720720720720721 0.00720720720720721 0.00630630630630631 0.0459459459459459 0.00630630630630631 0.00540540540540541 0.0324324324324324 0.0036036036036036 0.00810810810810811 0.0036036036036036 0.0747747747747748 0.0045045045045045 0.00720720720720721 0.0873873873873874 0.0513513513513514 0.0333333333333333 0.0540540540540541 0.0594594594594595 0.0126126126126126 0.00540540540540541 0.0018018018018018 0.0558558558558559 0.090990990990991 0.00540540540540541 0.00540540540540541 0.0324324324324324 0.0720720720720721 0.0036036036036036 0.0315315315315315 0.0036036036036036 0.0513513513513514 0.0045045045045045 0.072972972972973 0.108108108108108 0.00630630630630631 0.00720720720720721 0.104504504504505 0.00540540540540541 0.0558558558558559 0.00630630630630631 0.00540540540540541 0.0045045045045045 0.0468468468468468 0.0927927927927928 0.218018018018018 0.0621621621621622 0.0513513513513514 0.0306306306306306 0.00810810810810811 0.0468468468468468 0.0531531531531532 0.109009009009009 0.0351351351351351 0.00630630630630631 0.117117117117117 0.0720720720720721 0.0468468468468468 0.00720720720720721 0.0315315315315315 0.163063063063063 0.0720720720720721 0.0315315315315315 0.110810810810811 0.0261261261261261 0.0738738738738739 0.188288288288288 0.0738738738738739 0.0630630630630631 0.00630630630630631 0.0504504504504504
"7612-B7" 0.0216216216216216 0.0207207207207207 0.0441441441441441 0.0144144144144144 0.0189189189189189 0.0603603603603604 0.018018018018018 0.0585585585585586 0.018018018018018 0.018018018018018 0.018018018018018 0.0189189189189189 0.0459459459459459 0.0171171171171171 0.0882882882882883 0.0153153153153153 0.018018018018018 0.0171171171171171 0.0198198198198198 0.0189189189189189 0.0171171171171171 0 0.0171171171171171 0.0594594594594595 0.0603603603603604 0.0936936936936937 0.0432432432432432 0.0162162162162162 0.0162162162162162 0.0171171171171171 0.0171171171171171 0.0189189189189189 0.0171171171171171 0.0198198198198198 0.0594594594594595 0.0189189189189189 0.0171171171171171 0.0891891891891892 0.0873873873873874 0.0423423423423423 0.0864864864864865 0.0189189189189189 0.0162162162162162 0.0441441441441441 0.0171171171171171 0.0882882882882883 0.018018018018018 0.0162162162162162 0.0171171171171171 0.0432432432432432 0.0576576576576577 0.0144144144144144 0.0171171171171171 0.0189189189189189 0.0162162162162162 0.0171171171171171 0.0189189189189189 0.0162162162162162 0.0441441441441441 0.018018018018018 0.0171171171171171 0.0837837837837838 0.243243243243243 0.0468468468468468 0.0153153153153153 0.0171171171171171 0.0198198198198198 0.0576576576576577 0.018018018018018 0.0189189189189189 0.0459459459459459 0.0171171171171171 0.0198198198198198 0.0153153153153153 0.0864864864864865 0.018018018018018 0.0171171171171171 0.0972972972972973 0.0576576576576577 0.0432432432432432 0.0621621621621622 0.0747747747747748 0.0279279279279279 0.0171171171171171 0.0171171171171171 0.0675675675675676 0.100900900900901 0.0153153153153153 0.0207207207207207 0.0423423423423423 0.0855855855855856 0.0171171171171171 0.0396396396396396 0.0171171171171171 0.0630630630630631 0.018018018018018 0.0864864864864865 0.116216216216216 0.0198198198198198 0.0189189189189189 0.11981981981982 0.0189189189189189 0.0675675675675676 0.0198198198198198 0.0171171171171171 0.0162162162162162 0.0585585585585586 0.102702702702703 0.22972972972973 0.0738738738738739 0.0630630630630631 0.0441441441441441 0.0162162162162162 0.0621621621621622 0.0666666666666667 0.120720720720721 0.0486486486486487 0.018018018018018 0.105405405405405 0.0837837837837838 0.0567567567567568 0.0189189189189189 0.0414414414414414 0.174774774774775 0.081981981981982 0.0414414414414414 0.122522522522523 0.036036036036036 0.0855855855855856 0.2 0.0873873873873874 0.0765765765765766 0.0198198198198198 0.0603603603603604
"7612-B8" 0.00810810810810811 0.00900900900900901 0.0324324324324324 0.00630630630630631 0.00900900900900901 0.0468468468468468 0.0045045045045045 0.0486486486486487 0.00810810810810811 0.00810810810810811 0.00630630630630631 0.0036036036036036 0.0342342342342342 0.0036036036036036 0.0765765765765766 0.00720720720720721 0.00810810810810811 0.00540540540540541 0.00810810810810811 0.00540540540540541 0.00540540540540541 0.0171171171171171 0 0.0477477477477477 0.045045045045045 0.0837837837837838 0.0315315315315315 0.00810810810810811 0.00630630630630631 0.00540540540540541 0.00900900900900901 0.0036036036036036 0.0036036036036036 0.00630630630630631 0.0477477477477477 0.00540540540540541 0.0036036036036036 0.0738738738738739 0.0720720720720721 0.0324324324324324 0.0747747747747748 0.00720720720720721 0.00810810810810811 0.0306306306306306 0.00540540540540541 0.0747747747747748 0.0045045045045045 0.0045045045045045 0.0036036036036036 0.0315315315315315 0.0477477477477477 0.0027027027027027 0.0036036036036036 0.00540540540540541 0.0045045045045045 0.00900900900900901 0.00540540540540541 0.00630630630630631 0.0306306306306306 0.0045045045045045 0.00540540540540541 0.0720720720720721 0.226126126126126 0.0333333333333333 0.00900900900900901 0.00720720720720721 0.00810810810810811 0.0477477477477477 0.00630630630630631 0.00900900900900901 0.0324324324324324 0.0036036036036036 0.0045045045045045 0.00720720720720721 0.072972972972973 0.00810810810810811 0.00720720720720721 0.0873873873873874 0.0513513513513514 0.0333333333333333 0.0540540540540541 0.0576576576576577 0.0144144144144144 0.00720720720720721 0.00540540540540541 0.0594594594594595 0.0891891891891892 0.00540540540540541 0.00720720720720721 0.0324324324324324 0.0702702702702703 0.00540540540540541 0.0315315315315315 0.00720720720720721 0.0513513513513514 0.0045045045045045 0.072972972972973 0.106306306306306 0.00810810810810811 0.00720720720720721 0.108108108108108 0.00540540540540541 0.0540540540540541 0.00630630630630631 0.00720720720720721 0.00810810810810811 0.045045045045045 0.090990990990991 0.216216216216216 0.0585585585585586 0.0477477477477477 0.0324324324324324 0.0045045045045045 0.0486486486486487 0.0513513513513514 0.107207207207207 0.0351351351351351 0.0027027027027027 0.113513513513514 0.0702702702702703 0.045045045045045 0.00540540540540541 0.0315315315315315 0.164864864864865 0.0720720720720721 0.0315315315315315 0.110810810810811 0.0261261261261261 0.0738738738738739 0.184684684684685 0.0738738738738739 0.0612612612612613 0.00630630630630631 0.0468468468468468
"7612-B9" 0.0504504504504504 0.0477477477477477 0.0747747747747748 0.0486486486486487 0.0495495495495495 0.00990990990990991 0.0504504504504504 0.00630630630630631 0.0504504504504504 0.0522522522522523 0.0468468468468468 0.0477477477477477 0.0765765765765766 0.0477477477477477 0.118918918918919 0.0477477477477477 0.0504504504504504 0.0459459459459459 0.0504504504504504 0.0477477477477477 0.0495495495495495 0.0594594594594595 0.0477477477477477 0 0.0873873873873874 0.12972972972973 0.0774774774774775 0.0468468468468468 0.0486486486486487 0.0477477477477477 0.0513513513513514 0.0459459459459459 0.0495495495495495 0.0504504504504504 0.00900900900900901 0.0495495495495495 0.0477477477477477 0.0351351351351351 0.118018018018018 0.0747747747747748 0.117117117117117 0.0495495495495495 0.0486486486486487 0.0747747747747748 0.0477477477477477 0.118918918918919 0.0486486486486487 0.0468468468468468 0.0477477477477477 0.0756756756756757 0.0036036036036036 0.0486486486486487 0.0459459459459459 0.0513513513513514 0.0486486486486487 0.0495495495495495 0.0459459459459459 0.0486486486486487 0.072972972972973 0.0486486486486487 0.0495495495495495 0.0351351351351351 0.185585585585586 0.0738738738738739 0.0477477477477477 0.0513513513513514 0.0486486486486487 0.0594594594594595 0.045045045045045 0.0477477477477477 0.0747747747747748 0.0477477477477477 0.0486486486486487 0.0495495495495495 0.036036036036036 0.0468468468468468 0.0495495495495495 0.0756756756756757 0.00900900900900901 0.0774774774774775 0.0171171171171171 0.101801801801802 0.0567567567567568 0.0495495495495495 0.0495495495495495 0.0189189189189189 0.0504504504504504 0.0459459459459459 0.0495495495495495 0.0747747747747748 0.0315315315315315 0.0477477477477477 0.0720720720720721 0.0477477477477477 0.0918918918918919 0.0468468468468468 0.0342342342342342 0.148648648648649 0.0504504504504504 0.0477477477477477 0.0657657657657658 0.0477477477477477 0.0171171171171171 0.0522522522522523 0.0495495495495495 0.0504504504504504 0.00810810810810811 0.0522522522522523 0.179279279279279 0.0216216216216216 0.00900900900900901 0.072972972972973 0.0486486486486487 0.0135135135135135 0.0972972972972973 0.126126126126126 0.0792792792792793 0.0486486486486487 0.159459459459459 0.114414414414414 0.00630630630630631 0.0495495495495495 0.0774774774774775 0.207207207207207 0.0297297297297297 0.0738738738738739 0.0684684684684685 0.0702702702702703 0.0333333333333333 0.147747747747748 0.0351351351351351 0.103603603603604 0.0504504504504504 0.0603603603603604
"7612-C1" 0.0459459459459459 0.0468468468468468 0.0738738738738739 0.0477477477477477 0.0504504504504504 0.0882882882882883 0.0423423423423423 0.0882882882882883 0.0477477477477477 0.0477477477477477 0.0477477477477477 0.045045045045045 0.0720720720720721 0.0432432432432432 0.110810810810811 0.0468468468468468 0.0495495495495495 0.0432432432432432 0.0477477477477477 0.0468468468468468 0.0432432432432432 0.0603603603603604 0.045045045045045 0.0873873873873874 0 0.123423423423423 0.0747747747747748 0.0459459459459459 0.0441441441441441 0.045045045045045 0.0486486486486487 0.045045045045045 0.045045045045045 0.0477477477477477 0.0873873873873874 0.0468468468468468 0.0468468468468468 0.113513513513514 0.111711711711712 0.0720720720720721 0.110810810810811 0.0468468468468468 0.0477477477477477 0.0702702702702703 0.0468468468468468 0.112612612612613 0.0459459459459459 0.0459459459459459 0.045045045045045 0.072972972972973 0.0873873873873874 0.0459459459459459 0.0432432432432432 0.0468468468468468 0.0459459459459459 0.0468468468468468 0.0432432432432432 0.0477477477477477 0.0720720720720721 0.0441441441441441 0.0486486486486487 0.113513513513514 0.186486486486486 0.0675675675675676 0.0468468468468468 0.0486486486486487 0.0459459459459459 0.0855855855855856 0.0459459459459459 0.045045045045045 0.0720720720720721 0.045045045045045 0.0441441441441441 0.0468468468468468 0.114414414414414 0.0441441441441441 0.0468468468468468 0.130630630630631 0.0927927927927928 0.0747747747747748 0.0972972972972973 0.0918918918918919 0.0522522522522523 0.0468468468468468 0.045045045045045 0.0990990990990991 0.132432432432432 0.0486486486486487 0.045045045045045 0.0720720720720721 0.113513513513514 0.0432432432432432 0.0711711711711712 0.045045045045045 0.0837837837837838 0.0441441441441441 0.105405405405405 0.147747747747748 0.0459459459459459 0.0468468468468468 0.138738738738739 0.045045045045045 0.0972972972972973 0.0477477477477477 0.0468468468468468 0.0477477477477477 0.0864864864864865 0.127027027027027 0.255855855855856 0.1 0.0891891891891892 0.0702702702702703 0.0477477477477477 0.0882882882882883 0.0873873873873874 0.0765765765765766 0.0693693693693694 0.0441441441441441 0.151351351351351 0.106306306306306 0.0882882882882883 0.0468468468468468 0.072972972972973 0.130630630630631 0.10990990990991 0.072972972972973 0.146846846846847 0.0621621621621622 0.113513513513514 0.220720720720721 0.111711711711712 0.0918918918918919 0.0441441441441441 0.0864864864864865
"7612-C10" 0.0882882882882883 0.0891891891891892 0.112612612612613 0.0846846846846847 0.0873873873873874 0.130630630630631 0.0882882882882883 0.132432432432432 0.0918918918918919 0.0864864864864865 0.0864864864864865 0.0873873873873874 0.112612612612613 0.0873873873873874 0.0684684684684685 0.090990990990991 0.0864864864864865 0.0891891891891892 0.0882882882882883 0.0855855855855856 0.0891891891891892 0.0936936936936937 0.0837837837837838 0.12972972972973 0.123423423423423 0 0.113513513513514 0.0900900900900901 0.0882882882882883 0.0891891891891892 0.0891891891891892 0.0855855855855856 0.0873873873873874 0.0864864864864865 0.12972972972973 0.0873873873873874 0.0873873873873874 0.157657657657658 0.154054054054054 0.114414414414414 0.118918918918919 0.0891891891891892 0.0882882882882883 0.114414414414414 0.0873873873873874 0.118918918918919 0.0864864864864865 0.0864864864864865 0.0873873873873874 0.111711711711712 0.12972972972973 0.0864864864864865 0.0873873873873874 0.0855855855855856 0.0864864864864865 0.0891891891891892 0.0891891891891892 0.0882882882882883 0.110810810810811 0.0864864864864865 0.0891891891891892 0.152252252252252 0.272072072072072 0.115315315315315 0.0891891891891892 0.0855855855855856 0.0918918918918919 0.0774774774774775 0.0900900900900901 0.090990990990991 0.112612612612613 0.0873873873873874 0.0864864864864865 0.090990990990991 0.154954954954955 0.0918918918918919 0.0873873873873874 0.163963963963964 0.127927927927928 0.111711711711712 0.136036036036036 0.0981981981981982 0.0981981981981982 0.0855855855855856 0.0873873873873874 0.13963963963964 0.172972972972973 0.0873873873873874 0.090990990990991 0.114414414414414 0.152252252252252 0.0873873873873874 0.10990990990991 0.090990990990991 0.0954954954954955 0.0864864864864865 0.115315315315315 0.182882882882883 0.0882882882882883 0.090990990990991 0.186486486486486 0.0855855855855856 0.137837837837838 0.0864864864864865 0.0891891891891892 0.0882882882882883 0.128828828828829 0.135135135135135 0.292792792792793 0.140540540540541 0.12972972972973 0.114414414414414 0.0846846846846847 0.128828828828829 0.0954954954954955 0.185585585585586 0.0810810810810811 0.0846846846846847 0.15045045045045 0.114414414414414 0.127027027027027 0.0855855855855856 0.113513513513514 0.236036036036036 0.154054054054054 0.111711711711712 0.190990990990991 0.0666666666666667 0.154054054054054 0.223423423423423 0.152252252252252 0.101801801801802 0.0882882882882883 0.0765765765765766
"7612-C11" 0.036036036036036 0.0351351351351351 0.0603603603603604 0.0342342342342342 0.0351351351351351 0.0765765765765766 0.0324324324324324 0.0765765765765766 0.0324324324324324 0.036036036036036 0.0324324324324324 0.0333333333333333 0.00990990990990991 0.0333333333333333 0.0540540540540541 0.0333333333333333 0.0342342342342342 0.0369369369369369 0.0342342342342342 0.0333333333333333 0.0333333333333333 0.0432432432432432 0.0315315315315315 0.0774774774774775 0.0747747747747748 0.113513513513514 0 0.0378378378378378 0.0342342342342342 0.0333333333333333 0.0369369369369369 0.0351351351351351 0.0315315315315315 0.0324324324324324 0.0738738738738739 0.0351351351351351 0.0315315315315315 0.0981981981981982 0.1 0.00810810810810811 0.0522522522522523 0.0369369369369369 0.036036036036036 0.00810810810810811 0.0333333333333333 0.0522522522522523 0.0342342342342342 0.036036036036036 0.0351351351351351 0.00900900900900901 0.0774774774774775 0.0324324324324324 0.0351351351351351 0.0351351351351351 0.0342342342342342 0.0351351351351351 0.0369369369369369 0.0342342342342342 0.00990990990990991 0.0342342342342342 0.0315315315315315 0.0495495495495495 0.257657657657658 0.0108108108108108 0.0351351351351351 0.0333333333333333 0.0342342342342342 0.0774774774774775 0.0342342342342342 0.0369369369369369 0.00990990990990991 0.0333333333333333 0.0324324324324324 0.0315315315315315 0.0468468468468468 0.0378378378378378 0.0351351351351351 0.117117117117117 0.0774774774774775 0.00900900900900901 0.081981981981982 0.0873873873873874 0.0405405405405405 0.0369369369369369 0.0333333333333333 0.0837837837837838 0.0630630630630631 0.0315315315315315 0.0351351351351351 0.0603603603603604 0.0495495495495495 0.0351351351351351 0.0594594594594595 0.0333333333333333 0.027027027027027 0.036036036036036 0.104504504504505 0.130630630630631 0.036036036036036 0.0369369369369369 0.136036036036036 0.0369369369369369 0.0837837837837838 0.0342342342342342 0.0351351351351351 0.0342342342342342 0.072972972972973 0.0648648648648649 0.19009009009009 0.0882882882882883 0.0738738738738739 0.00810810810810811 0.0342342342342342 0.0765765765765766 0.0810810810810811 0.133333333333333 0.0648648648648649 0.0324324324324324 0.145045045045045 0.0495495495495495 0.0765765765765766 0.0351351351351351 0.00720720720720721 0.189189189189189 0.101801801801802 0.0630630630630631 0.0864864864864865 0.0540540540540541 0.0531531531531532 0.214414414414414 0.0513513513513514 0.090990990990991 0.0342342342342342 0.0783783783783784
"7612-C12" 0.00900900900900901 0.00990990990990991 0.0351351351351351 0.00720720720720721 0.00990990990990991 0.0495495495495495 0.00720720720720721 0.0477477477477477 0.00720720720720721 0.00720720720720721 0.00720720720720721 0.00810810810810811 0.0333333333333333 0.0045045045045045 0.0774774774774775 0.0045045045045045 0.00900900900900901 0.0045045045045045 0.00900900900900901 0.00990990990990991 0.00630630630630631 0.0162162162162162 0.00810810810810811 0.0468468468468468 0.0459459459459459 0.0900900900900901 0.0378378378378378 0 0.0036036036036036 0.0045045045045045 0.00630630630630631 0.00630630630630631 0.00810810810810811 0.00720720720720721 0.0486486486486487 0.00630630630630631 0.00630630630630631 0.0783783783783784 0.0765765765765766 0.0315315315315315 0.0756756756756757 0.00630630630630631 0.0036036036036036 0.0333333333333333 0.0045045045045045 0.0774774774774775 0.00720720720720721 0.00540540540540541 0.00630630630630631 0.0342342342342342 0.0432432432432432 0.00540540540540541 0.0045045045045045 0.00810810810810811 0.00540540540540541 0.00810810810810811 0.0027027027027027 0.00540540540540541 0.0315315315315315 0.00720720720720721 0.00810810810810811 0.072972972972973 0.228828828828829 0.0324324324324324 0.00630630630630631 0.00810810810810811 0.00720720720720721 0.045045045045045 0.0036036036036036 0.00810810810810811 0.0333333333333333 0.00630630630630631 0.00720720720720721 0.00630630630630631 0.0756756756756757 0.0036036036036036 0.0045045045045045 0.0882882882882883 0.0504504504504504 0.0324324324324324 0.054954954954955 0.0621621621621622 0.0153153153153153 0.00630630630630631 0.00630630630630631 0.0567567567567568 0.0918918918918919 0.00630630630630631 0.00810810810810811 0.0315315315315315 0.0747747747747748 0.0045045045045045 0.0288288288288288 0.0045045045045045 0.0522522522522523 0.00540540540540541 0.0738738738738739 0.109009009009009 0.00720720720720721 0.0045045045045045 0.107207207207207 0.00630630630630631 0.0585585585585586 0.00900900900900901 0.00630630630630631 0.00540540540540541 0.0477477477477477 0.0954954954954955 0.220720720720721 0.0630630630630631 0.0504504504504504 0.0333333333333333 0.00720720720720721 0.0513513513513514 0.0558558558558559 0.108108108108108 0.0378378378378378 0.00720720720720721 0.118018018018018 0.072972972972973 0.0477477477477477 0.00810810810810811 0.0324324324324324 0.163963963963964 0.0693693693693694 0.0306306306306306 0.111711711711712 0.027027027027027 0.072972972972973 0.189189189189189 0.0747747747747748 0.0621621621621622 0.00900900900900901 0.0477477477477477
"7612-C2" 0.00900900900900901 0.00810810810810811 0.0333333333333333 0.00540540540540541 0.00810810810810811 0.0477477477477477 0.0036036036036036 0.0495495495495495 0.00540540540540541 0.0036036036036036 0.00720720720720721 0.00630630630630631 0.0297297297297297 0.0045045045045045 0.0756756756756757 0.00630630630630631 0.00900900900900901 0.0045045045045045 0.00900900900900901 0.00810810810810811 0.0027027027027027 0.0162162162162162 0.00630630630630631 0.0486486486486487 0.0441441441441441 0.0882882882882883 0.0342342342342342 0.0036036036036036 0 0.0027027027027027 0.00810810810810811 0.00630630630630631 0.0045045045045045 0.00540540540540541 0.045045045045045 0.00810810810810811 0.0045045045045045 0.0747747747747748 0.072972972972973 0.0315315315315315 0.0738738738738739 0.00630630630630631 0.0036036036036036 0.0315315315315315 0.0045045045045045 0.0756756756756757 0.00540540540540541 0.00540540540540541 0.0045045045045045 0.0342342342342342 0.045045045045045 0.0036036036036036 0.0027027027027027 0.00630630630630631 0.00540540540540541 0.00630630630630631 0.00630630630630631 0.00540540540540541 0.0297297297297297 0.00540540540540541 0.00810810810810811 0.0711711711711712 0.228828828828829 0.0306306306306306 0.0045045045045045 0.00630630630630631 0.00720720720720721 0.045045045045045 0.00540540540540541 0.00630630630630631 0.0315315315315315 0.0045045045045045 0.00540540540540541 0.0045045045045045 0.0720720720720721 0.00540540540540541 0.00630630630630631 0.0864864864864865 0.0504504504504504 0.0324324324324324 0.0531531531531532 0.0603603603603604 0.0117117117117117 0.0045045045045045 0.0027027027027027 0.054954954954955 0.0900900900900901 0.00630630630630631 0.00630630630630631 0.0315315315315315 0.072972972972973 0.000900900900900901 0.0288288288288288 0.0045045045045045 0.0522522522522523 0.0036036036036036 0.0720720720720721 0.109009009009009 0.0036036036036036 0.00810810810810811 0.105405405405405 0.00630630630630631 0.0567567567567568 0.00720720720720721 0.00630630630630631 0.0036036036036036 0.0477477477477477 0.0936936936936937 0.218918918918919 0.0630630630630631 0.0504504504504504 0.0315315315315315 0.00540540540540541 0.0495495495495495 0.0540540540540541 0.108108108108108 0.0378378378378378 0.0036036036036036 0.118018018018018 0.0711711711711712 0.0477477477477477 0.00810810810810811 0.0306306306306306 0.163963963963964 0.0693693693693694 0.0306306306306306 0.111711711711712 0.0252252252252252 0.0711711711711712 0.187387387387387 0.072972972972973 0.0603603603603604 0.00540540540540541 0.0477477477477477
"7612-C3" 0.00810810810810811 0.00900900900900901 0.0306306306306306 0.00630630630630631 0.00720720720720721 0.0468468468468468 0.0045045045045045 0.0468468468468468 0.0045045045045045 0.00630630630630631 0.0045045045045045 0.00540540540540541 0.0306306306306306 0.0036036036036036 0.0765765765765766 0.00540540540540541 0.00810810810810811 0.0036036036036036 0.00630630630630631 0.00720720720720721 0.0036036036036036 0.0171171171171171 0.00540540540540541 0.0477477477477477 0.045045045045045 0.0891891891891892 0.0333333333333333 0.0045045045045045 0.0027027027027027 0 0.00720720720720721 0.00540540540540541 0.00540540540540541 0.0045045045045045 0.0441441441441441 0.00540540540540541 0.0018018018018018 0.0738738738738739 0.0720720720720721 0.0324324324324324 0.0747747747747748 0.00720720720720721 0.0027027027027027 0.0288288288288288 0.0036036036036036 0.0747747747747748 0.0027027027027027 0.0045045045045045 0.0036036036036036 0.0333333333333333 0.0459459459459459 0.0027027027027027 0.0018018018018018 0.00540540540540541 0.0045045045045045 0.00720720720720721 0.00540540540540541 0.0027027027027027 0.0306306306306306 0.00630630630630631 0.00540540540540541 0.0720720720720721 0.227927927927928 0.0315315315315315 0.00720720720720721 0.00540540540540541 0.00630630630630631 0.0459459459459459 0.0045045045045045 0.00720720720720721 0.0288288288288288 0.0018018018018018 0.00630630630630631 0.0036036036036036 0.0747747747747748 0.0045045045045045 0.00540540540540541 0.0873873873873874 0.0495495495495495 0.0333333333333333 0.0540540540540541 0.0576576576576577 0.0108108108108108 0.00720720720720721 0.0036036036036036 0.0558558558558559 0.0873873873873874 0.0036036036036036 0.00540540540540541 0.0306306306306306 0.0720720720720721 0.0036036036036036 0.0297297297297297 0.0036036036036036 0.0513513513513514 0.0027027027027027 0.072972972972973 0.10990990990991 0.00630630630630631 0.00540540540540541 0.106306306306306 0.00540540540540541 0.0540540540540541 0.00630630630630631 0.00540540540540541 0.0045045045045045 0.045045045045045 0.0945945945945946 0.216216216216216 0.0603603603603604 0.0495495495495495 0.0324324324324324 0.00630630630630631 0.0504504504504504 0.0513513513513514 0.107207207207207 0.0351351351351351 0.00630630630630631 0.117117117117117 0.0702702702702703 0.0468468468468468 0.00900900900900901 0.0315315315315315 0.161261261261261 0.0702702702702703 0.0315315315315315 0.110810810810811 0.0279279279279279 0.0720720720720721 0.19009009009009 0.0756756756756757 0.0630630630630631 0.00630630630630631 0.0486486486486487
"7612-C4" 0.00990990990990991 0.0126126126126126 0.0342342342342342 0.00630630630630631 0.0126126126126126 0.0522522522522523 0.00810810810810811 0.0468468468468468 0.00810810810810811 0.00810810810810811 0.00990990990990991 0.00900900900900901 0.0324324324324324 0.0108108108108108 0.0765765765765766 0.00720720720720721 0.00810810810810811 0.00540540540540541 0.00630630630630631 0.00900900900900901 0.00720720720720721 0.0171171171171171 0.00900900900900901 0.0513513513513514 0.0486486486486487 0.0891891891891892 0.0369369369369369 0.00630630630630631 0.00810810810810811 0.00720720720720721 0 0.00900900900900901 0.00900900900900901 0.00810810810810811 0.0495495495495495 0.0036036036036036 0.00720720720720721 0.0774774774774775 0.0738738738738739 0.0324324324324324 0.0765765765765766 0.00720720720720721 0.00630630630630631 0.0306306306306306 0.00720720720720721 0.0783783783783784 0.00630630630630631 0.00630630630630631 0.00720720720720721 0.0315315315315315 0.0495495495495495 0.00810810810810811 0.00720720720720721 0.00540540540540541 0.0045045045045045 0.00900900900900901 0.00720720720720721 0.00630630630630631 0.0324324324324324 0.00810810810810811 0.00720720720720721 0.0756756756756757 0.233333333333333 0.0351351351351351 0.00720720720720721 0.00720720720720721 0.00810810810810811 0.0477477477477477 0.00990990990990991 0.00900900900900901 0.0342342342342342 0.00540540540540541 0.00990990990990991 0.00540540540540541 0.0801801801801802 0.00810810810810811 0.00720720720720721 0.090990990990991 0.0477477477477477 0.0351351351351351 0.0558558558558559 0.0594594594594595 0.0162162162162162 0.00540540540540541 0.00720720720720721 0.0576576576576577 0.0927927927927928 0.00720720720720721 0.00900900900900901 0.0342342342342342 0.0756756756756757 0.00720720720720721 0.0315315315315315 0.00720720720720721 0.0531531531531532 0.00810810810810811 0.0747747747747748 0.113513513513514 0.00990990990990991 0.00540540540540541 0.111711711711712 0.00900900900900901 0.0576576576576577 0.0117117117117117 0.00900900900900901 0.00630630630630631 0.0504504504504504 0.0963963963963964 0.218018018018018 0.063963963963964 0.0513513513513514 0.036036036036036 0.00810810810810811 0.0522522522522523 0.054954954954955 0.109009009009009 0.0369369369369369 0.00990990990990991 0.117117117117117 0.0756756756756757 0.0486486486486487 0.00540540540540541 0.0333333333333333 0.164864864864865 0.0720720720720721 0.0315315315315315 0.112612612612613 0.0261261261261261 0.0756756756756757 0.191891891891892 0.0774774774774775 0.0648648648648649 0.00990990990990991 0.0522522522522523
